iter	Passed	Remaining
0	107	10610
1	109	5346
2	211	6848
3	331	7953
4	356	6779
5	384	6025
6	387	5146
7	405	4657
8	407	4123
9	409	3687
10	412	3336
11	414	3037
12	417	2791
13	418	2572
14	421	2387
15	423	2221
16	424	2073
17	435	1984
18	438	1870
19	441	1764
20	444	1673
21	448	1591
22	451	1513
23	456	1444
24	469	1407
25	473	1348
26	476	1287
27	496	1277
28	500	1224
29	528	1233
30	532	1185
31	540	1147
32	591	1200
33	597	1159
34	602	1118
35	604	1074
36	613	1044
37	616	1005
38	630	985
39	636	954
40	639	920
41	644	890
42	688	912
43	690	878
44	694	848
45	715	839
46	719	810
47	735	796
48	745	775
49	748	748
50	757	727
51	777	717
52	779	691
53	788	671
54	792	648
55	796	625
56	798	602
57	801	580
58	804	558
59	805	537
60	808	516
61	811	497
62	814	478
63	817	459
64	820	441
65	823	424
66	845	416
67	851	400
68	856	384
69	859	368
70	862	352
71	865	336
72	867	320
73	869	305
74	871	290
75	874	276
76	876	261
77	879	248
78	882	234
79	885	221
80	898	210
81	901	197
82	905	185
83	915	174
84	918	162
85	934	152
86	937	140
87	940	128
88	944	116
89	954	106
90	957	94
91	960	83
92	964	72
93	972	62
94	986	51
95	997	41
96	1000	30
97	1002	20
98	1005	10
99	1021	0
93	1421	90
94	1424	74
95	1427	59
96	1444	44
97	1452	29
98	1481	14
99	1486	0
4	14
99	1507	0
