num   ref  side         price    amount         cost       fee         roi  roi_pct          cash        assets       reason           timestamp       cmf        rsi  entry   exit
0      1   Buy  16873.282823  0.118531  1998.608938  0.399722    0.000000     0.00   8001.391062   9999.600278         Open 2022-11-30 04:01:00 -0.036339  70.715998   True  False
1      1  Sell  16963.877903  0.118531  2010.738287  0.401741   11.727608     0.59  10011.727608  10011.727608     strategy 2022-12-01 20:01:00  0.083538  60.077350  False   True
2      2   Buy  17076.482833  0.117257  2002.724320  0.400545    0.000000     0.00   8009.003289  10011.327064         Open 2022-12-03 00:01:00  0.182247  65.136354   True  False
3      2  Sell  17020.120381  0.117257  1995.736602  0.399139   -7.386857    -0.37  10004.340751  10004.340751     strategy 2022-12-03 04:01:00  0.149711  59.204041  False   True
4      3   Buy  17113.168473  0.116920  1999.289944  0.399858    0.000000     0.00   8005.050807  10003.940893         Open 2022-12-05 00:01:00 -0.041739  65.625100   True  False
5      3  Sell  17072.514325  0.116920  1996.114876  0.399416   -3.574485    -0.18  10000.766266  10000.766266     strategy 2022-12-05 16:01:00 -0.132620  53.608213  False   True
6      4   Buy  17246.655846  0.115973  2001.126092  0.400225    0.000000     0.00   7999.640174  10000.366041         Open 2022-12-08 20:01:00  0.035588  68.384638   True  False
7      4  Sell  17282.437925  0.115973  2004.303023  0.399937    2.776994     0.14  10003.543260  10003.543260     strategy 2022-12-09 12:01:00  0.117840  61.772533  False   True
8      5   Buy  17442.667248  0.114702  1998.407089  0.399681    0.000000     0.00   8005.136171  10003.143579         Open 2022-12-13 12:01:00  0.169682  70.370559   True  False
9      5  Sell  17707.994276  0.114702  2031.142190  0.407211   32.327890     1.62  10035.871150  10035.871150     strategy 2022-12-15 04:01:00  0.055429  60.247181  False   True
10     6   Buy  16711.891898  0.120105  2007.518589  0.401504    0.000000     0.00   8028.352561  10035.469646         Open 2023-01-02 08:01:00  0.078406  66.856293   True  False
11     6  Sell  16653.901585  0.120105  2000.209330  0.400140   -7.709400    -0.38  10028.161750  10028.161750     strategy 2023-01-03 00:01:00  0.011393  49.713936  False   True
12     7   Buy  16859.257906  0.118963  2006.271224  0.401254    0.000000     0.00   8021.890526  10027.760496         Open 2023-01-04 04:01:00  0.079001  69.633953   True  False
13     7  Sell  16832.989597  0.118963  2002.507386  0.400893   -4.164731    -0.21  10023.997020  10023.997020     strategy 2023-01-04 20:01:00  0.032370  61.339719  False   True
14     8   Buy  16962.181062  0.118192  2003.785307  0.400757    0.000000     0.00   8020.211713  10023.596262         Open 2023-01-06 20:01:00  0.091685  65.779230   True  False
15     8  Sell  16927.405069  0.118192  2000.689149  0.400220   -3.496377    -0.17  10020.500642  10020.500642     strategy 2023-01-07 08:01:00  0.155574  60.025295  False   True
16     9   Buy  17008.180046  0.117832  2002.048120  0.400410    0.000000     0.00   8018.452522  10020.100233         Open 2023-01-08 16:01:00  0.191936  64.345296   True  False
17     9  Sell  16935.068104  0.117832  1995.485235  0.398749   -6.961634    -0.35  10013.539009  10013.539009    stop_loss 2023-01-08 20:01:00  0.185050  55.404694  False   True
18    10   Buy  17138.568455  0.116854  2005.823252  0.401165    0.000000     0.00   8007.715757  10013.137844         Open 2023-01-09 00:01:00  0.216614  67.936381   True  False
19    10  Sell  17297.838407  0.116854  2021.319110  0.404501   15.091357     0.75  10028.630366  10028.630366    stop_loss 2023-01-11 16:01:00  0.097702  57.169811  False   True
20    11   Buy  17548.227061  0.114298  2006.610460  0.401322    0.000000     0.00   8022.019906  10028.229044         Open 2023-01-11 20:01:00  0.200050  70.432135   True  False
21    11  Sell  19172.056174  0.114298  2191.326384  0.437272  184.278652     9.18  10212.909018  10212.909018  take_profit 2023-01-13 15:13:00  0.297416  82.118602   True  False
22    12   Buy  19276.348792  0.105963  2039.968128  0.407994    0.000000     0.00   8172.940890  10212.501024         Open 2023-01-13 16:01:00  0.336365  85.766801   True  False
23    12  Sell  21271.780748  0.105963  2254.023973  0.448655  213.607191    10.47  10426.516208  10426.516208  take_profit 2023-01-14 00:41:00  0.409294  90.179156   True  False
24    13   Buy  20971.213237  0.099436  2084.932885  0.416987    0.000000     0.00   8341.583323  10426.099222         Open 2023-01-14 04:01:00  0.413913  93.665649   True  False
25    13  Sell  21197.494246  0.099436  2107.803825  0.421630   22.449309     1.08  10448.965518  10448.965518     strategy 2023-01-18 12:01:00  0.034048  60.026915  False   True
26    14   Buy  21556.883095  0.096943  2085.810827  0.417162    0.000000     0.00   8363.154691  10448.548355         Open 2023-01-20 20:01:00 -0.035735  68.077554   True  False
27    14  Sell  22613.283790  0.096943  2192.203961  0.438024  105.955111     5.08  10554.920629  10554.920629     strategy 2023-01-25 00:01:00 -0.082998  49.613597  False   True
28    15   Buy  23152.911377  0.091176  2108.712181  0.421742    0.000000     0.00   8446.208448  10554.498886         Open 2023-01-26 04:01:00 -0.001992  64.556391   True  False
29    15  Sell  22990.527668  0.091176  2096.178669  0.418709  -12.952221    -0.61  10541.968408  10541.968408     strategy 2023-01-26 08:01:00 -0.078763  58.020528  False   True
30    16   Buy  23428.646921  0.089992  2108.384707  0.421677    0.000000     0.00   8433.583701  10541.546731         Open 2023-01-29 12:01:00 -0.083546  66.080589   True  False
31    16  Sell  23040.032365  0.089992  2073.421433  0.414589  -35.377863    -1.68  10506.590544  10506.590544     strategy 2023-01-30 12:01:00  0.021795  45.010393  False   True
32    17   Buy  23752.805010  0.088466  2100.852798  0.420171    0.000000     0.00   8405.737747  10506.170374         Open 2023-02-02 00:01:00  0.222383  66.729677   True  False
33    17  Sell  23546.665314  0.088466  2083.081733  0.416834  -18.187899    -0.87  10488.402646  10488.402646     strategy 2023-02-03 00:01:00  0.104047  53.803055  False   True
