 rsi_period 	 long_entry 	 long_exit 	 short_entry 	 short_exit 	leverage	size_pct	  TP  	  SL  	  TS  	  TO  
12	63	60	1	2	2	20	50	50	50	20
13	61	58	1	2	2	20	50	50	50	20
12	64	60	1	2	2	20	50	50	50	20
20	61	59	1	2	2	20	50	50	50	20
18	62	60	1	2	2	20	50	50	50	20
12	64	62	1	2	2	20	50	50	50	20
13	79	54	1	2	2	20	50	50	50	20
12	64	61	1	2	2	20	50	50	50	20
14	67	62	1	2	2	20	50	50	50	20
17	61	59	1	2	2	20	50	50	50	20
14	61	59	1	2	2	20	50	50	50	20
12	65	62	1	2	2	20	50	50	50	20
12	62	60	1	2	2	20	50	50	50	20
12	72	53	1	2	2	20	50	50	50	20
18	63	60	1	2	2	20	50	50	50	20
12	62	53	1	2	2	20	50	50	50	20
13	60	58	1	2	2	20	50	50	50	20
13	60	57	1	2	2	20	50	50	50	20
14	77	55	1	2	2	20	50	50	50	20
14	78	55	1	2	2	20	50	50	50	20
12	63	61	1	2	2	20	50	50	50	20
17	64	61	1	2	2	20	50	50	50	20
13	62	58	1	2	2	20	50	50	50	20
13	61	51	1	2	2	20	50	50	50	20
12	61	52	1	2	2	20	50	50	50	20
12	60	56	1	2	2	20	50	50	50	20
12	61	59	1	2	2	20	50	50	50	20
22	61	55	1	2	2	20	50	50	50	20
17	66	60	1	2	2	20	50	50	50	20
21	61	58	1	2	2	20	50	50	50	20
